"country","continent","term","estimate","std.error","statistic","p.value"
"Honduras","Americas","I(year - 1952)",0.542851748251748,0.0261624083562604,20.7493033844435,1.49745633115739e-09
"Hong Kong, China","Asia","(Intercept)",63.428641025641,0.634199478651733,100.013707296774,2.4463372935164e-16
"Hong Kong, China","Asia","I(year - 1952)",0.365970629370629,0.0195331030356882,18.7359186454901,4.0590991891879e-09
"Hungary","Europe","(Intercept)",65.9928205128205,0.644634373914789,102.372481492189,1.93807173356147e-16
"Hungary","Europe","I(year - 1952)",0.123648951048951,0.0198544938459947,6.22775639651447,9.78447654355777e-05
"Iceland","Europe","(Intercept)",71.9635897435898,0.296927768619513,242.360591864363,3.51675158468928e-20
"Iceland","Europe","I(year - 1952)",0.165375524475524,0.00914526248260591,18.0831905907637,5.73296998322548e-09
"India","Asia","(Intercept)",39.2697564102564,0.936653291932424,41.925605502585,1.4289422245941e-12
"India","Asia","I(year - 1952)",0.505320979020979,0.0288485655947371,17.5163294466594,7.81298086328356e-09
"Indonesia","Asia","(Intercept)",36.8831153846154,0.35054602788551,105.21618404035,1.47393344062145e-16
"Indonesia","Asia","I(year - 1952)",0.634641258741258,0.010796684500586,58.781124770925,4.93138591589213e-14
"Iran","Asia","(Intercept)",44.9789871794872,0.360909627941225,124.626731173855,2.71460958198093e-17
"Iran","Asia","I(year - 1952)",0.49663986013986,0.0111158794455886,44.6784136667614,7.58885071252781e-13
"Iraq","Asia","(Intercept)",50.1134615384616,2.20308859381167,22.7469116218145,6.0781157877804e-10
"Iraq","Asia","I(year - 1952)",0.235210489510489,0.0678542918249607,3.46640548717605,0.00605743972869389
"Ireland","Europe","(Intercept)",67.5414615384615,0.259484790265012,260.29063772671,1.72274632899968e-20
"Ireland","Europe","I(year - 1952)",0.19911958041958,0.00799203297236353,24.9147596247583,2.48152998840103e-10
"Israel","Asia","(Intercept)",66.3004102564103,0.198604555962732,333.831265526716,1.431040389316e-21
"Israel","Asia","I(year - 1952)",0.267106293706294,0.00611694488179716,43.6666177099536,9.53219266639404e-13
"Italy","Europe","(Intercept)",66.5967948717949,0.226298420335449,294.28749335977,5.04838770988662e-21
"Italy","Europe","I(year - 1952)",0.269710489510489,0.0069699053846955,38.6964348329202,3.17060161951529e-12
"Jamaica","Americas","(Intercept)",62.6609871794872,1.11642053683941,56.1266880282233,7.81803530309425e-14
"Jamaica","Americas","I(year - 1952)",0.221394405594405,0.0343853284515515,6.43862994958293,7.45514772391478e-05
"Japan","Asia","(Intercept)",65.1220512820513,0.743500882335083,87.5883981166574,9.20538174990012e-16
"Japan","Asia","I(year - 1952)",0.352904195804195,0.0228995447499436,15.4109699410101,2.69578416394426e-08
"Jordan","Asia","(Intercept)",44.063858974359,1.0367579242358,42.5015887935834,1.24755477942626e-12
"Jordan","Asia","I(year - 1952)",0.57172937062937,0.0319317502439714,17.9047301278861,6.31348401760698e-09
"Kenya","Africa","(Intercept)",47.0020384615385,2.37961252835593,19.7519713404821,2.42443694692466e-09
"Kenya","Africa","I(year - 1952)",0.206507692307692,0.0732911619546058,2.81763430678853,0.0182345440179978
"Korea, Dem. Rep.","Asia","(Intercept)",54.9056025641026,2.11136131844204,26.0048349302038,1.62681422152889e-10
"Korea, Dem. Rep.","Asia","I(year - 1952)",0.316426573426573,0.065029126587066,4.86592070405431,0.000655590666201813
"Korea, Rep.","Asia","(Intercept)",49.7275,0.63763842840956,77.9869872711933,2.93500598450291e-15
"Korea, Rep.","Asia","I(year - 1952)",0.5554,0.019639021381911,28.2804315550857,7.10402570521099e-11
"Kuwait","Asia","(Intercept)",57.4593333333333,0.957267149571527,60.0243446764596,4.0022954490916e-14
"Kuwait","Asia","I(year - 1952)",0.416836363636363,0.0294834645796489,14.137970878907,6.16634551818571e-08
"Lebanon","Asia","(Intercept)",58.687358974359,0.666683757540466,88.0287817283396,8.75561361385392e-16
"Lebanon","Asia","I(year - 1952)",0.26102937062937,0.0205336064859947,12.7123002385095,1.69552144074781e-07
